Id,Chance of Admit
361,0.9387999999999999
73,0.7885999999999997
374,0.5775499999999998
155,0.7163499999999999
104,0.80975
394,0.8863499999999999
377,0.5140999999999999
124,0.6577
68,0.8613499999999995
450,0.7915000000000001
9,0.7368500000000001
194,0.7227999999999999
406,0.6767500000000001
84,0.9231999999999999
371,0.8745499999999997
388,0.5227
495,0.8338500000000001
30,0.5950499999999995
316,0.55785
408,0.55195
490,0.6235499999999995
491,0.5307499999999998
280,0.7199000000000002
356,0.7583
76,0.76905
461,0.6211999999999996
497,0.93585
211,0.8360499999999998
101,0.6350499999999997
334,0.7297499999999998
475,0.5498999999999998
336,0.7563500000000001
440,0.5750499999999997
173,0.8832999999999998
2,0.6106499999999996
333,0.7516000000000003
409,0.5961999999999998
70,0.9414
209,0.6243999999999996
63,0.7017499999999997
384,0.9492999999999995
93,0.5246499999999998
485,0.6876999999999996
185,0.8375
33,0.9394499999999997
77,0.6107499999999997
0,0.9412499999999998
11,0.8138500000000002
415,0.74515
22,0.9246999999999999
72,0.9029999999999992
182,0.5502499999999998
131,0.66765
410,0.4841499999999997
193,0.9407499999999999
55,0.6094999999999999
148,0.9502999999999993
18,0.7362000000000001
204,0.6637
78,0.4842499999999997
494,0.6633500000000001
262,0.6903999999999997
323,0.6238999999999997
483,0.5752499999999998
79,0.48714999999999997
39,0.5672499999999998
451,0.8998999999999993
46,0.9072999999999997
238,0.69215
391,0.7067
352,0.6074499999999996
341,0.7543
277,0.73275
290,0.5722499999999997
317,0.5837499999999998
304,0.6968499999999997
268,0.8369999999999999
69,0.85315
455,0.5514499999999998
465,0.6539999999999998
154,0.7513500000000002
82,0.8817999999999997
477,0.6313499999999995
172,0.835
321,0.7429500000000003
90,0.6023499999999998
180,0.6243999999999996
414,0.7470000000000004
312,0.78175
278,0.7025999999999999
381,0.7516000000000002
472,0.9158999999999995
362,0.9051500000000006
324,0.7004500000000001
431,0.77645
347,0.4864
86,0.7152
75,0.7624500000000001
438,0.7087499999999998
15,0.7005000000000001
249,0.77715
433,0.7171499999999998
19,0.6607
322,0.6974499999999998
332,0.6274999999999994
56,0.5454499999999998
301,0.7464000000000002
229,0.8064000000000001
331,0.6291999999999995
132,0.7141500000000001
137,0.6150499999999998
423,0.94035
335,0.83545
25,0.9420499999999998
464,0.48645000000000005
281,0.8148999999999998
247,0.6984999999999997
237,0.8865500000000001
117,0.5403999999999999
42,0.7030499999999995
220,0.7256
176,0.8587500000000001
320,0.7199500000000001
153,0.7295
231,0.7303000000000003
227,0.6976999999999997
417,0.5695999999999998
203,0.9503999999999995
126,0.8986499999999991
329,0.5347500000000001
31,0.7222000000000003
113,0.7398000000000002
470,0.8987499999999992
271,0.52715
140,0.8322000000000002
57,0.4881999999999998
192,0.8044500000000002
24,0.9502999999999993
17,0.6380499999999997
265,0.71025
66,0.8031999999999998
208,0.6287499999999997
479,0.8038000000000003
94,0.52405
253,0.9407499999999999
266,0.6857999999999995
23,0.9418500000000001
222,0.759
261,0.6389999999999998
426,0.7209999999999998
